experiment,dataset,target,model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,fit_time,predict_time,train_rows,test_rows,feature_count,confusion_matrix_csv,confusion_matrix_png
final_3_classes_defense_walk_shoot_pruned80_all_v26,dataset_basquet_defense_walk_shoot_pruned80_all_v26.csv,original,XGBoost,0.8447886414972572,0.7290163834075366,0.7230922653245188,0.7255174639025571,0.9271944534641307,3.349022199981846,0.024258900084532797,12396,3099,80,results\tables\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_xgboost.csv,results\figures\confusion_matrices_final_3_classes_defense_walk_shoot_pruned80_all_v26\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_xgboost.png
final_3_classes_defense_walk_shoot_pruned80_all_v26,dataset_basquet_defense_walk_shoot_pruned80_all_v26.csv,original,SVM (SVC),0.8050984188447886,0.6268527517517507,0.7350540560636882,0.6639307798209425,0.9146572900458564,24.802618899964727,3.7035408000228927,12396,3099,80,results\tables\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_svm_(svc).csv,results\figures\confusion_matrices_final_3_classes_defense_walk_shoot_pruned80_all_v26\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_svm_(svc).png
final_3_classes_defense_walk_shoot_pruned80_all_v26,dataset_basquet_defense_walk_shoot_pruned80_all_v26.csv,original,Random Forest,0.8328493062278154,0.7802098950524737,0.572940341751735,0.6297091603791617,0.9125354556839523,2.656812999979593,0.16039920004550368,12396,3099,80,results\tables\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_random_forest.csv,results\figures\confusion_matrices_final_3_classes_defense_walk_shoot_pruned80_all_v26\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_random_forest.png
final_3_classes_defense_walk_shoot_pruned80_all_v26,dataset_basquet_defense_walk_shoot_pruned80_all_v26.csv,original,MLP,0.7683123588254276,0.5822263625996843,0.7518218466179175,0.6169282637024572,0.8836618267857562,1.5711846000049263,0.013089499901980162,12396,3099,80,results\tables\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_mlp.csv,results\figures\confusion_matrices_final_3_classes_defense_walk_shoot_pruned80_all_v26\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_mlp.png
final_3_classes_defense_walk_shoot_pruned80_all_v26,dataset_basquet_defense_walk_shoot_pruned80_all_v26.csv,original,Logistic Regression,0.7676669893514037,0.5796933192137896,0.7487637671539505,0.6090554210582152,0.8862651737534967,0.254073099931702,0.009582399972714484,12396,3099,80,results\tables\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_logistic_regression.csv,results\figures\confusion_matrices_final_3_classes_defense_walk_shoot_pruned80_all_v26\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_logistic_regression.png
final_3_classes_defense_walk_shoot_pruned80_all_v26,dataset_basquet_defense_walk_shoot_pruned80_all_v26.csv,original,Decision Tree,0.7679896740884156,0.5934367491770898,0.5722018489129148,0.5819883631962548,0.6872818010230269,1.3133676999714226,0.00740210001822561,12396,3099,80,results\tables\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_decision_tree.csv,results\figures\confusion_matrices_final_3_classes_defense_walk_shoot_pruned80_all_v26\confusion_matrix_final_3_classes_defense_walk_shoot_pruned80_all_v26_decision_tree.png
